ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,LIGHT_CONDITION,SEVERITY,SPEED_ZONE,LONGITUDE,LATITUDE,RMA
T20140000063,1/01/2014,16.30.00,Collision with vehicle                   ,Wednesday,Rear End(Vehicles In Same Lane)               ,Day                             ,Serious injury accident                   ,60 km/hr                          ,144.98514,-37.8625,Arterial Highway
T20140000068,1/01/2014,22.30.00,Collision with vehicle                   ,Wednesday,Right Near (Intersections Only)               ,Dark Street lights on,Serious injury accident                   ,70 km/hr                          ,145.16375,-37.90383,Arterial Other
T20140000073,2/01/2014,04.30.00,Collision with a fixed object                ,Thursday,Left Off Carriageway Into Object/Parked Vehicle       ,Dark Street lights on,Other injury accident                    ,80 km/hr                          ,145.09341,-37.89348,Arterial Highway
T20140000077,1/01/2014,14.55.00,Collision with vehicle                   ,Wednesday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,100 km/hr                          ,143.97502,-38.26088,Arterial Other
T20140000081,2/01/2014,10.45.00,Collision with vehicle                   ,Wednesday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,80 km/hr                          ,145.45583,-38.0619,Arterial Other
T20140000082,2/01/2014,10.30.00,Collision with a fixed object                ,Thursday,Right Off Carriageway Into Object/Parked Vehicle      ,Day                             ,Other injury accident                    ,100 km/hr                          ,145.30653,-38.01601,Freeway
T20140000085,2/01/2014,09.00.00,Collision with a fixed object                ,Thursday,Out Of Control (Overtaking)                 ,Day                             ,Other injury accident                    ,70 km/hr                          ,145.32823,-38.08871,Arterial Other
T20140000087,2/01/2014,10.45.00,Collision with a fixed object                ,Thursday,Off Right Bend Into Object/Parked Vehicle          ,Day                             ,Other injury accident                    ,100 km/hr                          ,145.17197,-37.24682,Arterial Other
T20140000090,2/01/2014,11.10.00,Collision with vehicle                   ,Thursday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,80 km/hr                          ,146.07268,-38.20425,Arterial Highway
T20140000091,2/01/2014,10.30.00,Collision with vehicle                   ,Thursday,Right Near (Intersections Only)               ,Day                             ,Other injury accident                    ,50 km/hr                          ,143.67124,-38.75949,Arterial Highway
T20140000097,2/01/2014,14.00.00,Collision with vehicle                   ,Thursday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,80 km/hr                          ,145.07891,-37.77435,Arterial Highway
T20140000102,2/01/2014,11.45.00,Collision with a fixed object                ,Thursday,Right Off Carriageway Into Object/Parked Vehicle      ,Day                             ,Other injury accident                    ,80 km/hr                          ,144.95657,-37.40385,Local Road
T20140000104,2/01/2014,12.29.00,Struck Pedestrian                      ,Thursday,Ped Near Side. Ped Hit By Vehicle From The Right.      ,Day                             ,Other injury accident                    ,60 km/hr                          ,144.36101,-38.14736,Local Road
T20140000106,2/01/2014,13.50.00,No collision and no object struck              ,Thursday,Out Of Control On Carriageway (On Bend)           ,Day                             ,Serious injury accident                   ,100 km/hr                          ,146.06398,-37.34727,Local Road
T20140000107,2/01/2014,16.00.00,Collision with vehicle                   ,Thursday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,50 km/hr                          ,142.19529,-36.71667,Arterial Highway
T20140000109,2/01/2014,14.51.00,Collision with vehicle                   ,Thursday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,70 km/hr                          ,145.06126,-37.9095,Arterial Other
T20140000110,2/01/2014,13.14.00,Collision with vehicle                   ,Thursday,Right Through                        ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.13852,-38.10867,Freeway
T20140000111,2/01/2014,17.30.00,Collision with vehicle                   ,Thursday,Head On (Not Overtaking)                  ,Day                             ,Serious injury accident                   ,Camping grounds or off road,143.88263,-37.60724,Local Road
T20140000112,2/01/2014,16.35.00,Collision with vehicle                   ,Thursday,Right Through                        ,Day                             ,Other injury accident                    ,60 km/hr                          ,144.97572,-37.79305,Arterial Highway
T20140000116,2/01/2014,18.40.00,Struck animal                        ,Thursday,Struck Animal                        ,Day                             ,Serious injury accident                   ,70 km/hr                          ,144.99213,-37.80499,Arterial Highway
T20140000120,2/01/2014,17.00.00,Collision with a fixed object                ,Thursday,Right Off Carriageway Into Object/Parked Vehicle      ,Day                             ,Other injury accident                    ,60 km/hr                          ,143.73288,-37.05005,Arterial Highway
T20140000122,2/01/2014,18.10.00,Collision with vehicle                   ,Thursday,Head On (Not Overtaking)                  ,Day                             ,Other injury accident                    ,50 km/hr                          ,143.60728,-36.41077,Local Road
T20140000123,2/01/2014,15.05.00,Collision with vehicle                   ,Thursday,Right Rear.                         ,Day                             ,Other injury accident                    ,70 km/hr                          ,145.01814,-38.37237,Local Road
T20140000124,2/01/2014,18.50.00,Collision with vehicle                   ,Thursday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.01515,-38.26883,Local Road
T20140000125,2/01/2014,19.04.00,Collision with vehicle                   ,Thursday,Vehicle Strikes Another Veh While Emerging From Driveway,Dusk/Dawn                          ,Serious injury accident                   ,50 km/hr                          ,145.15038,-37.87682,Local Road
T20140000129,2/01/2014,19.50.00,Collision with a fixed object                ,Thursday,Left Off Carriageway Into Object/Parked Vehicle       ,Dusk/Dawn                          ,Serious injury accident                   ,50 km/hr                          ,145.05133,-37.74923,Local Road
T20140000131,2/01/2014,16.40.00,Struck Pedestrian                      ,Thursday,Veh Strikes Ped On Footpath/Median/Traffic Island.,Day                             ,Serious injury accident                   ,60 km/hr                          ,144.87777,-37.84192,Local Road
T20140000132,1/01/2014,22.21.00,Collision with vehicle                   ,Wednesday,Vehicle Collides With Vehicle Parked On Left Of Road    ,Dark Street lights unknown,Other injury accident                    ,50 km/hr                          ,144.9834,-37.8781,Local Road
T20140000133,2/01/2014,17.35.00,Collision with vehicle                   ,Thursday,Cutting In (Overtaking)                   ,Day                             ,Serious injury accident                   ,100 km/hr                          ,145.67592,-38.09187,Arterial Other
T20140000134,2/01/2014,22.30.00,Struck Pedestrian                      ,Thursday,Ped Near Side. Ped Hit By Vehicle From The Right.      ,Dark Street lights on,Other injury accident                    ,50 km/hr                          ,145.21461,-37.99012,Arterial Highway
T20140000138,2/01/2014,23.45.00,Collision with vehicle                   ,Thursday,Other On Path                        ,Dark Street lights on,Other injury accident                    ,50 km/hr                          ,144.9759,-37.74452,Local Road
T20140000139,3/01/2014,00.16.00,Vehicle overturned (no collision)              ,Friday,Off Carriageway On Right Bend                ,Dark No street lights,Other injury accident                    ,100 km/hr                          ,142.54063,-38.24016,Local Road
T20140000140,3/01/2014,03.45.00,Vehicle overturned (no collision)              ,Friday,Off Carriageway To Left                   ,Dark No street lights,Other injury accident                    ,110 km/hr                          ,144.21808,-36.90143,Freeway
T20140000146,2/01/2014,11.30.00,Vehicle overturned (no collision)              ,Thursday,Out Of Control On Carriageway (On Bend)           ,Day                             ,Other injury accident                    ,100 km/hr                          ,145.88584,-38.71736,Local Road
T20140000147,1/01/2014,15.30.00,No collision and no object struck              ,Wednesday,Out Of Control On Carriageway (On Bend)           ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.36781,-37.86084,Arterial Other
T20140000156,3/01/2014,10.53.00,Collision with vehicle                   ,Friday,U Turn                           ,Day                             ,Other injury accident                    ,60 km/hr                          ,142.14351,-34.19257,Local Road
T20140000170,3/01/2014,10.50.00,Collision with vehicle                   ,Friday,Right Near (Intersections Only)               ,Day                             ,Serious injury accident                   ,60 km/hr                          ,144.78706,-38.37195,Local Road
T20140000171,3/01/2014,14.48.00,Collision with vehicle                   ,Friday,Right Through                        ,Day                             ,Other injury accident                    ,50 km/hr                          ,145.14294,-37.68677,Arterial Other
T20140000175,3/01/2014,15.00.00,Struck Pedestrian                      ,Friday,Parked Car Run Away                     ,Unk.                            ,Other injury accident                    ,Not known                          ,143.44796,-37.43434,Arterial Highway
T20140000176,3/01/2014,15.36.00,Vehicle overturned (no collision)              ,Friday,Off Carriageway To Right                  ,Day                             ,Other injury accident                    ,80 km/hr                          ,145.0442,-37.61431,Local Road
T20140000179,3/01/2014,16.07.00,Collision with vehicle                   ,Friday,Right Through                        ,Day                             ,Other injury accident                    ,70 km/hr                          ,145.03739,-37.93337,Arterial Other
T20140000182,3/01/2014,16.20.00,Collision with vehicle                   ,Friday,Right Rear.                         ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.49425,-38.07352,Arterial Other
T20140000188,3/01/2014,18.20.00,Collision with vehicle                   ,Friday,Other Adjacent (Intersections Only)             ,Day                             ,Other injury accident                    ,50 km/hr                          ,145.43008,-37.92956,Local Road
T20140000190,3/01/2014,18.50.00,Collision with vehicle                   ,Friday,Right Near (Intersections Only)               ,Day                             ,Serious injury accident                   ,100 km/hr                          ,147.75793,-37.81732,Arterial Highway
T20140000198,4/01/2014,00.10.00,Collision with a fixed object                ,Friday,Off Left Bend Into Object/Parked Vehicle          ,Dark Street lights on,Serious injury accident                   ,60 km/hr                          ,144.37227,-38.05621,Local Road
T20140000202,3/01/2014,22.10.00,Collision with a fixed object                ,Friday,Off Left Bend Into Object/Parked Vehicle          ,Dark Street lights on,Serious injury accident                   ,60 km/hr                          ,145.24616,-37.93022,Local Road
T20140000205,4/01/2014,06.00.00,Collision with a fixed object                ,Saturday,Left Off Carriageway Into Object/Parked Vehicle       ,Dusk/Dawn                          ,Serious injury accident                   ,70 km/hr                          ,145.20325,-38.02612,Local Road
T20140000206,1/01/2014,14.00.00,No collision and no object struck              ,Wednesday,Out Of Control On Carriageway (On Straight)         ,Day                             ,Serious injury accident                   ,60 km/hr                          ,143.8553,-37.57596,Local Road
T20140000207,2/01/2014,07.15.00,Collision with vehicle                   ,Thursday,Vehicle Collides With Vehicle Parked On Left Of Road    ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.11595,-38.05234,Arterial Highway
T20140000211,1/01/2014,09.30.00,Collision with vehicle                   ,Wednesday,U Turn                           ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.38046,-37.8722,Arterial Other
T20140000213,4/01/2014,10.27.00,Vehicle overturned (no collision)              ,Saturday,Out Of Control On Carriageway (On Bend)           ,Day                             ,Serious injury accident                   ,30km/hr,145.56509,-37.9058,Local Road
T20140000214,4/01/2014,12.05.00,Collision with vehicle                   ,Saturday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,70 km/hr                          ,142.5121,-38.38457,Arterial Highway
T20140000217,4/01/2014,12.40.00,Collision with vehicle                   ,Saturday,Right Through                        ,Day                             ,Other injury accident                    ,80 km/hr                          ,145.0923,-37.69522,Freeway
T20140000219,4/01/2014,13.10.00,Collision with vehicle                   ,Saturday,Vehicle Collides With Vehicle Parked On Left Of Road    ,Day                             ,Serious injury accident                   ,40 km/hr                          ,145.01737,-37.88633,Local Road
T20140000222,4/01/2014,12.42.00,No collision and no object struck              ,Saturday,Out Of Control On Carriageway (On Straight)         ,Day                             ,Other injury accident                    ,80 km/hr                          ,142.2187,-34.2344,Local Road
T20140000223,4/01/2014,14.15.00,Collision with vehicle                   ,Saturday,Right Through                        ,Day                             ,Other injury accident                    ,50 km/hr                          ,145.36828,-37.88413,Local Road
T20140000226,4/01/2014,13.40.00,Collision with vehicle                   ,Saturday,Right/Left Far (Intersections Only)             ,Day                             ,Other injury accident                    ,100 km/hr                          ,143.43938,-38.66365,Arterial Other
T20140000227,4/01/2014,13.20.00,Collision with vehicle                   ,Saturday,Cross Traffic(Intersections Only)              ,Day                             ,Serious injury accident                   ,100 km/hr                          ,145.49814,-36.40677,Arterial Highway
T20140000228,4/01/2014,14.20.00,Collision with vehicle                   ,Saturday,Vehicle Strikes Another Veh While Emerging From Driveway,Day                             ,Other injury accident                    ,50 km/hr                          ,144.96721,-38.33485,Local Road
T20140000233,4/01/2014,13.25.00,Collision with vehicle                   ,Saturday,Right Through                        ,Day                             ,Serious injury accident                   ,60 km/hr                          ,144.96839,-37.79226,Arterial Other
T20140000234,4/01/2014,16.10.00,Collision with vehicle                   ,Saturday,Right Through                        ,Day                             ,Serious injury accident                   ,60 km/hr                          ,144.99122,-37.76839,Arterial Highway
T20140000235,1/01/2014,11.00.00,Collision with vehicle                   ,Wednesday,Vehicle Strikes Another Veh While Emerging From Driveway,Day                             ,Other injury accident                    ,60 km/hr                          ,145.01541,-38.37125,Local Road
T20140000236,4/01/2014,16.39.00,Collision with vehicle                   ,Saturday,Vehicle Collides With Vehicle Parked On Left Of Road    ,Day                             ,Other injury accident                    ,80 km/hr                          ,145.0188,-37.83097,Freeway
T20140000238,4/01/2014,17.25.00,Collision with a fixed object                ,Saturday,Left Off Carriageway Into Object/Parked Vehicle       ,Day                             ,Other injury accident                    ,60 km/hr                          ,144.25053,-36.71606,Arterial Other
T20140000240,4/01/2014,16.00.00,Struck Pedestrian                      ,Saturday,Any Manoeuvre Involving Ped Not Included In Dcas 100-108.  ,Day                             ,Other injury accident                    ,Not known                          ,144.96563,-37.81353,Local Road
T20140000245,4/01/2014,16.00.00,Vehicle overturned (no collision)              ,Saturday,Off Carriageway To Left                   ,Day                             ,Other injury accident                    ,80 km/hr                          ,143.98704,-38.29737,Local Road
T20140000248,4/01/2014,18.30.00,No collision and no object struck              ,Saturday,Off Carriageway On Left Bend                ,Day                             ,Other injury accident                    ,100 km/hr                          ,143.95656,-37.58227,Local Road
T20140000251,4/01/2014,19.15.00,Collision with vehicle                   ,Saturday,Right Rear.                         ,Dusk/Dawn                          ,Other injury accident                    ,60 km/hr                          ,143.84944,-37.53726,Arterial Highway
T20140000253,4/01/2014,19.20.00,Collision with a fixed object                ,Saturday,Off Left Bend Into Object/Parked Vehicle          ,Dusk/Dawn                          ,Serious injury accident                   ,100 km/hr                          ,147.46457,-37.70831,Local Road
T20140000254,4/01/2014,23.00.00,Collision with a fixed object                ,Saturday,Left Off Carriageway Into Object/Parked Vehicle       ,Dark Street lights on,Other injury accident                    ,50 km/hr                          ,142.18724,-36.72342,Local Road
T20140000256,4/01/2014,23.25.00,Collision with a fixed object                ,Saturday,Left Off Carriageway Into Object/Parked Vehicle       ,Dark Street lights on,Other injury accident                    ,50 km/hr                          ,145.11142,-37.70746,Local Road
T20140000257,4/01/2014,22.30.00,Collision with vehicle                   ,Saturday,Head On (Not Overtaking)                  ,Dark No street lights,Serious injury accident                   ,60 km/hr                          ,145.40201,-37.9172,Arterial Other
T20140000258,4/01/2014,22.20.00,Collision with vehicle                   ,Saturday,Right Far (Intersections Only)               ,Dark Street lights unknown,Other injury accident                    ,40 km/hr                          ,144.83377,-37.78684,Local Road
T20140000260,5/01/2014,00.20.00,Collision with a fixed object                ,Sunday,Left Off Carriageway Into Object/Parked Vehicle       ,Dark No street lights,Other injury accident                    ,100 km/hr                          ,146.61362,-36.13788,Arterial Other
T20140000261,4/01/2014,14.15.00,Collision with vehicle                   ,Friday,Head On (Not Overtaking)                  ,Day                             ,Serious injury accident                   ,100 km/hr                          ,146.23184,-38.07152,Local Road
T20140000267,5/01/2014,09.00.00,Collision with vehicle                   ,Sunday,Right Near (Intersections Only)               ,Day                             ,Other injury accident                    ,60 km/hr                          ,143.82969,-37.56305,Local Road
T20140000269,5/01/2014,10.15.00,Collision with a fixed object                ,Sunday,Left Off Carriageway Into Object/Parked Vehicle       ,Day                             ,Other injury accident                    ,50 km/hr                          ,144.54806,-37.68276,Local Road
T20140000273,4/01/2014,13.00.00,Struck animal                        ,Saturday,Struck Animal                        ,Day                             ,Other injury accident                    ,100 km/hr                          ,146.84515,-38.27723,Local Road
T20140000276,5/01/2014,13.00.00,No collision and no object struck              ,Sunday,Out Of Control On Carriageway (On Bend)           ,Day                             ,Other injury accident                    ,100 km/hr                          ,145.5849,-37.90793,Arterial Other
T20140000277,5/01/2014,09.35.00,Collision with vehicle                   ,Sunday,Pulling Out -Rear End                    ,Day                             ,Serious injury accident                   ,80 km/hr                          ,145.23293,-37.87964,Arterial Highway
T20140000281,3/01/2014,18.40.00,No collision and no object struck              ,Friday,Off Carriageway To Left                   ,Day                             ,Serious injury accident                   ,60 km/hr                          ,145.04749,-37.74417,Arterial Other
T20140000282,3/01/2014,18.15.00,Collision with a fixed object                ,Friday,Right Off Carriageway Into Object/Parked Vehicle      ,Day                             ,Serious injury accident                   ,100 km/hr                          ,147.03729,-36.29074,Arterial Other
T20140000285,5/01/2014,14.15.00,Collision with vehicle                   ,Sunday,Right Rear.                         ,Day                             ,Serious injury accident                   ,80 km/hr                          ,145.42888,-37.68346,Arterial Highway
T20140000288,5/01/2014,15.05.00,Vehicle overturned (no collision)              ,Sunday,Off Carriageway On Right Bend                ,Day                             ,Other injury accident                    ,100 km/hr                          ,146.83114,-36.12385,Local Road
T20140000291,5/01/2014,16.33.00,Collision with a fixed object                ,Sunday,Off Right Bend Into Object/Parked Vehicle          ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.02227,-37.6961,Arterial Other
T20140000294,5/01/2014,16.15.00,Collision with vehicle                   ,Sunday,Right Through                        ,Day                             ,Other injury accident                    ,100 km/hr                          ,145.2953,-38.13253,Arterial Highway
T20140000296,5/01/2014,16.32.00,Vehicle overturned (no collision)              ,Sunday,Off Carriageway To Right                  ,Day                             ,Other injury accident                    ,100 km/hr                          ,145.23333,-38.10886,Arterial Highway
T20140000300,5/01/2014,16.40.00,Fall from or in moving vehicle               ,Sunday,Off Right Bend Into Object/Parked Vehicle          ,Day                             ,Serious injury accident                   ,100 km/hr                          ,145.78022,-37.87128,Arterial Other
T20140000302,5/01/2014,18.15.00,Vehicle overturned (no collision)              ,Sunday,Off Carriageway On Right Bend                ,Day                             ,Other injury accident                    ,100 km/hr                          ,145.95515,-38.56359,Arterial Highway
T20140000305,5/01/2014,16.28.00,Collision with vehicle                   ,Sunday,Pulling Out -Rear End                    ,Day                             ,Serious injury accident                   ,60 km/hr                          ,142.13969,-34.18761,Local Road
T20140000306,5/01/2014,15.44.00,Collision with vehicle                   ,Sunday,Right Rear.                         ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.12212,-37.75712,Arterial Other
T20140000307,5/01/2014,21.00.00,Collision with vehicle                   ,Sunday,Left Near (Intersections Only)               ,Dark Street lights on,Other injury accident                    ,50 km/hr                          ,144.74202,-37.70347,Local Road
T20140000308,5/01/2014,20.44.00,Fall from or in moving vehicle               ,Sunday,Fell In/From Vehicle                    ,Dusk/Dawn                          ,Serious injury accident                   ,110 km/hr                          ,144.68431,-37.5827,Freeway
T20140000309,5/01/2014,19.30.00,Collision with a fixed object                ,Sunday,Left Off Carriageway Into Object/Parked Vehicle       ,Dusk/Dawn                          ,Other injury accident                    ,100 km/hr                          ,147.0608,-37.98061,Arterial Other
T20140000312,5/01/2014,22.50.00,Collision with a fixed object                ,Sunday,Off Right Bend Into Object/Parked Vehicle          ,Dark No street lights,Serious injury accident                   ,100 km/hr                          ,147.03414,-38.29468,Arterial Highway
T20140000316,6/01/2014,07.30.00,Collision with vehicle                   ,Monday,Lane Side Swipe (Vehicles In Parallel Lanes)        ,Day                             ,Other injury accident                    ,60 km/hr                          ,144.81617,-37.64106,Arterial Other
T20140000318,6/01/2014,07.00.00,Collision with a fixed object                ,Monday,Right Off Carriageway Into Object/Parked Vehicle      ,Day                             ,Serious injury accident                   ,60 km/hr                          ,145.38558,-37.7877,Arterial Other
T20140000320,6/01/2014,11.15.00,Collision with a fixed object                ,Monday,Right Off Carriageway Into Object/Parked Vehicle      ,Day                             ,Other injury accident                    ,80 km/hr                          ,144.97268,-37.60267,Arterial Other
T20140000321,6/01/2014,08.00.00,Collision with vehicle                   ,Monday,Right Through                        ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.18925,-37.80405,Arterial Other
T20140000323,6/01/2014,09.15.00,Collision with vehicle                   ,Monday,Vehicle Strikes Another Veh While Emerging From Driveway,Day                             ,Other injury accident                    ,60 km/hr                          ,142.23002,-38.37676,Arterial Highway
T20140000327,5/01/2014,20.00.00,Collision with a fixed object                ,Sunday,Permanent Obstruction On Carriageway            ,Dusk/Dawn                          ,Serious injury accident                   ,50 km/hr                          ,144.9522,-37.80546,Local Road
T20140000329,6/01/2014,12.00.00,No collision and no object struck              ,Monday,Out Of Control On Carriageway (On Straight)         ,Day                             ,Serious injury accident                   ,60 km/hr                          ,144.27019,-36.75664,Arterial Other
T20140000330,5/01/2014,11.50.00,No collision and no object struck              ,Sunday,Out Of Control On Carriageway (On Straight)         ,Day                             ,Serious injury accident                   ,80 km/hr                          ,143.52765,-35.47701,Local Road
T20140000331,6/01/2014,13.32.00,Collision with vehicle                   ,Monday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,80 km/hr                          ,145.08285,-37.71448,Arterial Highway
T20140000336,5/01/2014,17.10.00,Collision with vehicle                   ,Sunday,Cross Traffic(Intersections Only)              ,Day                             ,Other injury accident                    ,80 km/hr                          ,145.07969,-37.93862,Arterial Highway
T20140000337,6/01/2014,13.25.00,Collision with vehicle                   ,Monday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.00991,-37.73863,Arterial Other
T20140000343,6/01/2014,13.40.00,Collision with a fixed object                ,Monday,Left Off Carriageway Into Object/Parked Vehicle       ,Day                             ,Other injury accident                    ,100 km/hr                          ,143.94771,-38.08446,Arterial Highway
T20140000345,6/01/2014,15.00.00,Collision with vehicle                   ,Monday,Vehicle Collides With Vehicle Parked On Left Of Road    ,Day                             ,Serious injury accident                   ,50 km/hr                          ,145.22109,-37.87457,Local Road
T20140000349,6/01/2014,08.35.00,Collision with vehicle                   ,Monday,Right Through                        ,Day                             ,Other injury accident                    ,40 km/hr                          ,144.95189,-37.81416,Arterial Other
T20140000353,6/01/2014,21.54.00,Collision with a fixed object                ,Monday,Left Off Carriageway Into Object/Parked Vehicle       ,Dark Street lights on,Serious injury accident                   ,60 km/hr                          ,145.12329,-38.07679,Local Road
T20140000354,6/01/2014,21.39.00,Collision with vehicle                   ,Monday,Right Through                        ,Dark Street lights on,Serious injury accident                   ,60 km/hr                          ,145.09993,-37.82625,Arterial Other
T20140000356,6/01/2014,06.08.00,Collision with a fixed object                ,Monday,Right Off Carriageway Into Object/Parked Vehicle      ,Dusk/Dawn                          ,Other injury accident                    ,110 km/hr                          ,145.46277,-36.8065,Freeway
T20140000364,7/01/2014,08.27.00,Collision with vehicle                   ,Tuesday,Right Near (Intersections Only)               ,Day                             ,Serious injury accident                   ,50 km/hr                          ,145.06791,-37.60484,Local Road
T20140000369,7/01/2014,08.40.00,Collision with a fixed object                ,Tuesday,Left Off Carriageway Into Object/Parked Vehicle       ,Day                             ,Other injury accident                    ,50 km/hr                          ,145.19457,-37.75515,Local Road
T20140000374,5/01/2014,12.00.00,Collision with vehicle                   ,Sunday,Left Turn Sideswipe                     ,Day                             ,Serious injury accident                   ,80 km/hr                          ,145.11342,-37.52049,Arterial Other
T20140000377,7/01/2014,07.15.00,Collision with vehicle                   ,Tuesday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,70 km/hr                          ,145.14132,-37.90986,Arterial Other
T20140000378,7/01/2014,09.40.00,Collision with a fixed object                ,Tuesday,Left Off Carriageway Into Object/Parked Vehicle       ,Day                             ,Other injury accident                    ,100 km/hr                          ,145.54686,-38.27503,Arterial Highway
T20140000382,7/01/2014,11.00.00,Collision with a fixed object                ,Tuesday,Off Left Bend Into Object/Parked Vehicle          ,Day                             ,Other injury accident                    ,100 km/hr                          ,147.05506,-36.91177,Arterial Highway
